CpuName,GpuName,GameName,CpuNumberOfCores,CpuNumberOfThreads,CpuFrequency,CpuTurboClock,CpuCacheL3,CpuTDP,GpuMemorySize,GpuBandwidth,GpuMemoryBus,GpuNumberOfShadingUnits,GpuBaseClock,GpuBoostClock,GpuNumberOfROPs,GpuFP32Performance,GameSetting,GameSetting_Normalized,GameSetting_Ordinal,GameResolution,FPS
Intel Core i9-9900K,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,8.0,16.0,3600.0,5000.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,225.3
Intel Core i7-9700K,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,8.0,8.0,3600.0,4900.0,12.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,223.3
Intel Core i7-8700K,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,6.0,12.0,3700.0,4700.0,12.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,207.3
Intel Core i7-7700K,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,4.0,8.0,4200.0,4500.0,8.0,91.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,201.3
Intel Core i5-9400F,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,6.0,6.0,2900.0,4100.0,9.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,199.2
Intel Core i5-8600K,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,6.0,6.0,3600.0,4300.0,9.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,197.3
Intel Core i5-8400,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,6.0,6.0,2800.0,4000.0,9.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,193.3
Intel Core i5-7600K,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,4.0,4.0,3800.0,4200.0,6.0,91.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,191.2
Intel Core i5-7500,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,4.0,4.0,3400.0,3800.0,6.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,181.2
Intel Core i3-7100,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,2.0,4.0,3900.0,3900.0,3.0,51.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,151.0
