CpuName,GpuName,GameName,CpuNumberOfCores,CpuNumberOfThreads,CpuFrequency,CpuTurboClock,CpuCacheL3,CpuTDP,GpuMemorySize,GpuBandwidth,GpuMemoryBus,GpuNumberOfShadingUnits,GpuBaseClock,GpuBoostClock,GpuNumberOfROPs,GpuFP32Performance,GameSetting,GameSetting_Normalized,GameSetting_Ordinal,GameResolution,FPS,y_true,y_pred,abs_error,pct_error
Intel Core i7-9700K,NVIDIA GeForce RTX 2080 Ti,counterStrikeGlobalOffensive,8.0,8.0,3600.0,4900.0,12.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,380.7,380.7,357.83532591341265,22.864674086587343,6.005955893508627
AMD Ryzen 5 2600,NVIDIA GeForce RTX 2080 Ti,counterStrikeGlobalOffensive,6.0,12.0,3400.0,3900.0,16.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,311.3,311.3,288.6741363638804,22.625863636119618,7.268186198560751
Intel Core i5-8400,NVIDIA GeForce RTX 2080 Ti,counterStrikeGlobalOffensive,6.0,6.0,2800.0,4000.0,9.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,328.4,328.4,310.4539287303097,17.946071269690265,5.464698924997036
Intel Core i9-9900K,NVIDIA GeForce RTX 2080 Ti,worldOfTanks,8.0,16.0,3600.0,5000.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,107.7,107.7,122.04651555144773,14.346515551447723,13.320812953990458
AMD Ryzen 5 1600X,NVIDIA GeForce RTX 2080 Ti,leagueOfLegends,6.0,12.0,3600.0,4000.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,284.5,284.5,270.5498365018895,13.950163498110498,4.903396660144288
Intel Core i7-9700K,NVIDIA GeForce RTX 2080 Ti,worldOfTanks,8.0,8.0,3600.0,4900.0,12.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,106.7,106.7,120.4319139447518,13.731913944751795,12.869647558342825
AMD Ryzen 7 3700X,NVIDIA GeForce RTX 2080 Ti,worldOfTanks,8.0,16.0,3600.0,4400.0,32.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,100.5,100.5,114.07379806446914,13.573798064469145,13.506266730815069
Intel Core i7-9700K,AMD Radeon RX 590,counterStrikeGlobalOffensive,8.0,8.0,3600.0,4900.0,12.0,95.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,med,medium,2,1080.0,298.5,298.5,285.5580140477137,12.941985952286302,4.335673685858057
Intel Core i3-7100,NVIDIA GeForce RTX 2080 Ti,battlefield4,2.0,4.0,3900.0,3900.0,3.0,51.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,69.3,69.3,81.75845602658315,12.45845602658315,17.97757002392951
AMD Ryzen 5 3600,NVIDIA GeForce RTX 2080 Ti,worldOfTanks,6.0,12.0,3600.0,4200.0,32.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,97.1,97.1,109.20402200699107,12.104022006991073,12.465522149321394
