Feature,Importance
GameName_counterStrikeGlobalOffensive,0.20669538103646487
GpuBandwidth,0.15012733872932071
GameName_leagueOfLegends,0.14404030457698916
GameSetting_Ordinal,0.09108285906902835
GameName_warframe,0.041440972465837334
CpuTurboClock,0.03200879952797509
GameName_dota2,0.03132798692231846
GameName_battlefield4,0.02853022176982634
GameName_overwatch,0.026274144587416826
GameName_worldOfTanks,0.024840228723065093
GameName_pathOfExile,0.024605732912998918
GpuFP32Performance,0.022315684936860532
GameName_totalWar3Kingdoms,0.018632744058168657
GameName_starcraft2,0.018538202019720767
GameName_battletech,0.013819967931086556
GameName_grandTheftAuto5,0.013793060734199235
GpuBoostClock,0.013752679414801188
GpuBaseClock,0.013531524907393526
GameName_playerUnknownsBattlegrounds,0.013501027739369722
GpuNumberOfShadingUnits,0.011202159127587683
GameName_radicalHeights,0.009844574621909446
GameName_rainbowSixSiege,0.007914552736029791
GameName_callOfDutyWW2,0.007148278965483821
GameName_apexLegends,0.005717116129379958
GpuNumberOfROPs,0.00391105334150185
CpuNumberOfCores,0.0037307554942311544
GameName_farCry5,0.0036434777592288564
GameName_aWayOut,0.002969368592233006
CpuFrequency,0.002320255819838511
CpuCacheL3,0.0022873196395971347
CpuTDP,0.0018396825437435316
GameName_seaOfThieves,0.0012583752621292727
GameName_frostpunk,0.001246959393805528
GameName_fortnite,0.0012314901549862404
GameName_airMechStrike,0.001207249559960088
GpuMemorySize,0.0010849401182543498
GameName_destiny2,0.0010830818724824258
GpuMemoryBus,0.0010269372385529674
CpuNumberOfThreads,0.0004735095662229928
